part_name,category,relative_path,status,mesh_volume_mm3,mesh_volume_cm3,petg_density_g_cm3,pla_density_g_cm3,estimated_petg_mass_g,estimated_pla_mass_g,notes
bottom_fan_cartridge,printable/plastic,exports/mk0.7.3/printable/plastic/bottom_fan_cartridge.stl,ok,88577.861,88.578,1.27,1.24,112.494,109.837,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
bottom_fan_grille,printable/plastic,exports/mk0.7.3/printable/plastic/bottom_fan_grille.stl,ok,111520.276,111.520,1.27,1.24,141.631,138.285,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
bottom_filter_frame,printable/plastic,exports/mk0.7.3/printable/plastic/bottom_filter_frame.stl,ok,27603.450,27.603,1.27,1.24,35.056,34.228,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
bottom_filter_retainer,printable/plastic,exports/mk0.7.3/printable/plastic/bottom_filter_retainer.stl,ok,7048.000,7.048,1.27,1.24,8.951,8.740,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
bottom_structural_frame,printable/plastic,exports/mk0.7.3/printable/plastic/bottom_structural_frame.stl,ok,84693.424,84.693,1.27,1.24,107.561,105.020,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
central_bottom_fan_frame,printable/plastic,exports/mk0.7.3/printable/plastic/central_bottom_fan_frame.stl,ok,257031.420,257.031,1.27,1.24,326.430,318.719,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
corner_block,printable/plastic,exports/mk0.7.3/printable/plastic/corner_block.stl,ok,14990.402,14.990,1.27,1.24,19.038,18.588,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
external_ssd_bay,printable/plastic,exports/mk0.7.3/printable/plastic/external_ssd_bay.stl,ok,126165.610,126.166,1.27,1.24,160.230,156.445,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
foot_socket,printable/plastic,exports/mk0.7.3/printable/plastic/foot_socket.stl,ok,3035.612,3.036,1.27,1.24,3.855,3.764,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
front_stability_wing,printable/plastic,exports/mk0.7.3/printable/plastic/front_stability_wing.stl,ok,116957.170,116.957,1.27,1.24,148.536,145.027,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
left_foot_extension,printable/plastic,exports/mk0.7.3/printable/plastic/left_foot_extension.stl,ok,79257.170,79.257,1.27,1.24,100.657,98.279,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
left_side_panel_lower,printable/plastic,exports/mk0.7.3/printable/plastic/left_side_panel_lower.stl,ok,88794.171,88.794,1.27,1.24,112.769,110.105,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
left_side_panel_middle,printable/plastic,exports/mk0.7.3/printable/plastic/left_side_panel_middle.stl,ok,63143.834,63.144,1.27,1.24,80.193,78.298,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
left_side_panel_upper,printable/plastic,exports/mk0.7.3/printable/plastic/left_side_panel_upper.stl,ok,93620.808,93.621,1.27,1.24,118.898,116.090,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
m5_threaded_rod_cap,printable/plastic,exports/mk0.7.3/printable/plastic/m5_threaded_rod_cap.stl,ok,707.078,0.707,1.27,1.24,0.898,0.877,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
mikrotik_tray,printable/plastic,exports/mk0.7.3/printable/plastic/mikrotik_tray.stl,ok,137544.175,137.544,1.27,1.24,174.681,170.555,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
mini_pc_airflow_duct,printable/plastic,exports/mk0.7.3/printable/plastic/mini_pc_airflow_duct.stl,ok,64252.160,64.252,1.27,1.24,81.600,79.673,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
mini_pc_tray,printable/plastic,exports/mk0.7.3/printable/plastic/mini_pc_tray.stl,ok,187452.501,187.453,1.27,1.24,238.065,232.441,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
mini_pc_tray_stop,printable/plastic,exports/mk0.7.3/printable/plastic/mini_pc_tray_stop.stl,ok,1162.157,1.162,1.27,1.24,1.476,1.441,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
power_bus_cover_lower,printable/plastic,exports/mk0.7.3/printable/plastic/power_bus_cover_lower.stl,ok,18487.477,18.487,1.27,1.24,23.479,22.924,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
power_bus_cover_upper,printable/plastic,exports/mk0.7.3/printable/plastic/power_bus_cover_upper.stl,ok,18487.477,18.487,1.27,1.24,23.479,22.924,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
power_bus_panel_lower,printable/plastic,exports/mk0.7.3/printable/plastic/power_bus_panel_lower.stl,ok,21600.541,21.601,1.27,1.24,27.433,26.785,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
power_bus_panel_upper,printable/plastic,exports/mk0.7.3/printable/plastic/power_bus_panel_upper.stl,ok,21152.981,21.153,1.27,1.24,26.864,26.230,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rail_end_mount,printable/plastic,exports/mk0.7.3/printable/plastic/rail_end_mount.stl,ok,1647.434,1.647,1.27,1.24,2.092,2.043,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
raspberry_pi_tray,printable/plastic,exports/mk0.7.3/printable/plastic/raspberry_pi_tray.stl,ok,129953.175,129.953,1.27,1.24,165.041,161.142,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_service_spine_cover_lower,printable/plastic,exports/mk0.7.3/printable/plastic/rear_service_spine_cover_lower.stl,ok,21945.332,21.945,1.27,1.24,27.871,27.212,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_service_spine_cover_upper,printable/plastic,exports/mk0.7.3/printable/plastic/rear_service_spine_cover_upper.stl,ok,21945.332,21.945,1.27,1.24,27.871,27.212,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_service_spine_lower,printable/plastic,exports/mk0.7.3/printable/plastic/rear_service_spine_lower.stl,ok,96051.583,96.052,1.27,1.24,121.986,119.104,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_service_spine_upper,printable/plastic,exports/mk0.7.3/printable/plastic/rear_service_spine_upper.stl,ok,83189.261,83.189,1.27,1.24,105.650,103.155,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_stability_wing,printable/plastic,exports/mk0.7.3/printable/plastic/rear_stability_wing.stl,ok,116957.170,116.957,1.27,1.24,148.536,145.027,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_foot_extension,printable/plastic,exports/mk0.7.3/printable/plastic/right_foot_extension.stl,ok,79257.170,79.257,1.27,1.24,100.657,98.279,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_side_panel_lower,printable/plastic,exports/mk0.7.3/printable/plastic/right_side_panel_lower.stl,ok,88794.171,88.794,1.27,1.24,112.769,110.105,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_side_panel_middle,printable/plastic,exports/mk0.7.3/printable/plastic/right_side_panel_middle.stl,ok,63143.834,63.144,1.27,1.24,80.193,78.298,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_side_panel_upper,printable/plastic,exports/mk0.7.3/printable/plastic/right_side_panel_upper.stl,ok,93620.808,93.621,1.27,1.24,118.898,116.090,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
side_panel_mount_rail_lower,printable/plastic,exports/mk0.7.3/printable/plastic/side_panel_mount_rail_lower.stl,ok,9356.040,9.356,1.27,1.24,11.882,11.601,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
side_panel_mount_rail_middle,printable/plastic,exports/mk0.7.3/printable/plastic/side_panel_mount_rail_middle.stl,ok,9356.040,9.356,1.27,1.24,11.882,11.601,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
side_panel_mount_rail_upper,printable/plastic,exports/mk0.7.3/printable/plastic/side_panel_mount_rail_upper.stl,ok,9356.040,9.356,1.27,1.24,11.882,11.601,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
ssd_expansion_tray,printable/plastic,exports/mk0.7.3/printable/plastic/ssd_expansion_tray.stl,ok,131677.175,131.677,1.27,1.24,167.230,163.280,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
top_fan_grille,printable/plastic,exports/mk0.7.3/printable/plastic/top_fan_grille.stl,ok,109040.596,109.041,1.27,1.24,138.482,135.210,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
top_structural_frame,printable/plastic,exports/mk0.7.3/printable/plastic/top_structural_frame.stl,ok,84693.424,84.693,1.27,1.24,107.561,105.020,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
tray_support_ledge,printable/plastic,exports/mk0.7.3/printable/plastic/tray_support_ledge.stl,ok,1190.597,1.191,1.27,1.24,1.512,1.476,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
ups_power_tray,printable/plastic,exports/mk0.7.3/printable/plastic/ups_power_tray.stl,ok,154378.035,154.378,1.27,1.24,196.060,191.429,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
