part_name,category,relative_path,status,triangle_count,is_watertight,is_manifold,boundary_edges,nonmanifold_edges,notes
m5_threaded_rod,non_printable/metal_reference,exports/mk0.9/non_printable/metal_reference/m5_threaded_rod.stl,ok,332,True,True,0,0,
external_ssd_placeholder,placeholders/devices,exports/mk0.9/placeholders/devices/external_ssd_placeholder.stl,ok,28,True,True,0,0,
mini_pc_placeholder,placeholders/devices,exports/mk0.9/placeholders/devices/mini_pc_placeholder.stl,ok,28,True,True,0,0,
raspberry_pi_3b_placeholder,placeholders/devices,exports/mk0.9/placeholders/devices/raspberry_pi_3b_placeholder.stl,ok,1412,True,True,0,0,
fan_120x120x25_placeholder,placeholders/fans,exports/mk0.9/placeholders/fans/fan_120x120x25_placeholder.stl,ok,2903,False,False,1,1,open boundary or nonmanifold edge detected
dust_filter_placeholder,placeholders/filters,exports/mk0.9/placeholders/filters/dust_filter_placeholder.stl,ok,28,True,True,0,0,
top_guard_filter_mesh_placeholder,placeholders/filters,exports/mk0.9/placeholders/filters/top_guard_filter_mesh_placeholder.stl,ok,28,True,True,0,0,
base_module,printable/plastic,exports/mk0.9/printable/plastic/base_module.stl,ok,5544,True,True,0,0,
bottom_grill,printable/plastic,exports/mk0.9/printable/plastic/bottom_grill.stl,ok,876,True,True,0,0,
dust_filter_slot,printable/plastic,exports/mk0.9/printable/plastic/dust_filter_slot.stl,ok,48,True,True,0,0,
foot_mounts,printable/plastic,exports/mk0.9/printable/plastic/foot_mounts.stl,ok,2688,True,True,0,0,
m5_threaded_rod_cap,printable/plastic,exports/mk0.9/printable/plastic/m5_threaded_rod_cap.stl,ok,672,True,True,0,0,
mini_pc_placeholder_module,printable/plastic,exports/mk0.9/printable/plastic/mini_pc_placeholder_module.stl,ok,6032,True,True,0,0,
roof_module,printable/plastic,exports/mk0.9/printable/plastic/roof_module.stl,ok,7136,True,True,0,0,
rpi_ssd_module,printable/plastic,exports/mk0.9/printable/plastic/rpi_ssd_module.stl,ok,6972,True,True,0,0,
top_filter_slot,printable/plastic,exports/mk0.9/printable/plastic/top_filter_slot.stl,ok,32,True,True,0,0,
foot,printable/tpu,exports/mk0.9/printable/tpu/foot.stl,ok,1008,True,True,0,0,
airflow_clearance_zone,review,exports/mk0.9/review/airflow_clearance_zone.stl,ok,12,True,True,0,0,
central_airflow_channel_placeholder,review,exports/mk0.9/review/central_airflow_channel_placeholder.stl,ok,12,True,True,0,0,
module_interface_bottom,review,exports/mk0.9/review/module_interface_bottom.stl,ok,48,True,True,0,0,
module_interface_top,review,exports/mk0.9/review/module_interface_top.stl,ok,48,True,True,0,0,
simplified_airflow_guide,review,exports/mk0.9/review/simplified_airflow_guide.stl,ok,996,True,True,0,0,
